129,"jam-packed","volgepropt"
130,"je bent hier niet erg goed in","don't give up your day job"
131,"je hebt meer kans om te slagen als je aardig doet","you can catch more flies with honey than you can with vinegar"
132,"je kan iemand wel helpen maar niet dwingen een beslissing te nemen","you can lead a horse to water
133,"je kan niet alles hebben","you can't have your cake and eat it too"
134,"je kunt iets of iemand niet op het uiterlijk beoordelen","you can't judge a book by its cover"
135,"je moet aan iets werken als je het hebben wilt","no pain; no gain"
136,"je vergissen,op de verkeerde plek naar oplossingen zoeken"
137,"jij bent net zo slecht als ik","it takes one to know one"
138,"jong geleerd, oud gedaan"
139,"kalmeer","pull yourself together"
140,"kalmte voor de storm","calm before the storm"
141,"laten we het daar nu nog niet over hebben","we'll cross that bridge when we come to it"
142,"los het probleem nu op voordat het erger wordt","a stitch in time saves nine"
143,"make it stick","het laten blijven hangen"
144,"meer energie hebben na moe geweest te zijn","get a second wind"
145,"men kan geen ijzer met handen breken.","can't bend space and time"
146,"men mag een gegeven paard niet in de bek kijken.","do not look a gift-horse in the mouth"
147,"men moet het ijzer smeden als het heet is.","striking the iron when it is hot"
148,"men moet zijn bed maken zoals men slapen wil.","as you make your bed
149,"mensen die hetzelfde zijn, zijn vaak vrienden (vaak in negatieve zin)"
150,"mensen die iets niet helemaal begrijpen zijn gevaarlijk","a little learning is a dangerous thing"
151,"mensen die in moreel opzicht betwistbaar zijn, zouden geen kritiek mogen hebben op anderen"
152,"met een beetje inspanning kan je een probleem voorkomen. later is het moeilijker op te lossen.","an ounce of prevention is worth a pound of cure"
153,"met je hoofd in de wolken lopen","have your head in the clouds"
154,"met stroop/honing vang me meer vliegen dan met azijn","you can catch more flies with honey than you can with vinegar"
155,"mijn geduld is nu op","that's the last straw"
156,"niemand in europa mag tussen wal en schip vallen","nobody in europe must be left by the wayside"
157,"niet aan een dood paard trekken","don't beat a dead horse"
158,"niet geschoten is altijd mis","nothing ventured
159,"niet opgeven","hit the sack"
160,"niet zeggen wat je bedoelt, meestal omdat het ongemakkelijk is om te zeggen"
161,"niet zo kritisch zijn","cut somebody some slack"
162,"niet zo snel","easy does it"
163,"nog maar net","by the skin of your teeth"
164,"nood breekt wet.","necessity knows no law."
165,"om het nog erger te maken","to make matters worse"
166,"on the fly","terloops / tijdens het doen"
167,"on the tip of my tongue","op het puntje van mijn tong"
168,"ondergesneeuwd, heel erg druk"
169,"onkruid vergaat niet.","evil doesn't die so easily."
170,"oost west, thuis best."
171,"op de verkeerde voet starten","start off on the wrong foot"
172,"op proef. als je nog een fout maakt, kom je in de problemen"
173,"op volle toeren draaien","cooking with gas"
174,"ophouden met werken aan iets","call it a day"
175,"opnieuw beginnen","go back to the drawing board"
176,"out of the blue","uit het niets / plotseling"
177,"overal zit wel een prijs aan","there's no such thing as a free lunch"
178,"perfect","as right as rain"
179,"pleiten voor het tegengestelde, gewoon voor de discussie"
180,"plug something","iets aanprijzen"
181,"rattle off","lopend opnoemen"
182,"relaties verbreken","burn bridges"
183,"right off the top of your head","direct uit je hoofd weten"
184,"risico's nemen","fortune favours the bold"
185,"rome is ook niet op een dag gebouwd","rome was not built in one day."
186,"schot voor de boeg","hit it in the ball park"
187,"sink in","binnendringen"
188,"solidify in your brain","in je geheugen verankeren"
189,"spreken is zilver, zwijgen is goud."
190,"stel geen vragen meer","curiosity killed the cat"
191,"succes","break a leg"
192,"ter zake komen","cut to the chase"
193,"teveel hooi op je vork nemen","bite off more than you can chew"
194,"the bare bones","de essentie"
195,"the big picture","het grote plaatje"
196,"the new norm","de nieuwe norm"
197,"the off ramp","de uitgang / een manier om af te wikkelen"
198,"the upside","het voordeel / het positieve"
199,"tie things together","alles aan elkaar knopen"
200,"tijd is geld.","we're on the clock
201,"tijd is geld","time is money"
202,"tot nu toe gaat alles goed","so far
203,"totaal mislukken","go down in flames"
204,"tussen wal en schip vallen","fall through the cracks"
205,"tussen wal en schip vallen","falling between two stools"
206,"twee vliegen met een klap slaan","kill two birds with one stone"
207,"uit de hand lopen","get out of hand"
208,"uit de verte lijkt het goed, maar van dichtbij zie je dat er problemen zijn"
209,"up in the air","onzeker / nog niet beslist"
210,"van de wal in de sloot","out of the frying pan and into the fire"
211,"van een kale kip kun je niet plukken.","after all
212,"van goede omstandigheden profiteren","make hay while the sun shines"
213,"van je ervaring leren","live and learn"
214,"van streek raken","to get bent out of shape"
215,"van uitstel komt afstel","delay is the beginning of defeat."
216,"van uitstel komt afstel","no time like the present"
217,"van uitstel komt afstel","procrastination is the thief of time"
218,"vele handen maken licht werk","many hands make light work"
219,"verder gaan, dit is afgesloten"
220,"verspil geen dingen, misschien heb je ze later nodig"
221,"vertrouwen komt te voet en gaat te paard.","trust arrives on foot and leaves on horseback."
222,"voor geld kun je de duivel doen dansen.","everybody has his price"
223,"waar gehakt wordt vallen spaanders","you can't make an omelet without breaking some eggs"
224,"waar rook is, is vuur"
225,"walk away","even afstand nemen"
226,"wat de boer niet kent, dat vreet hij niet."
227,"wat er ook gebeurt","come rain or shine"
228,"wat in een goed vat zit verzuurt niet.","all good things come to those who wait."
229,"wat niet wat, dat niet deert"
230,"water bij de wijn doen","water down the wine"
231,"water naar de zee dragen","carry coals to newcastle"
232,"we zijn het eens","we see eye to eye"
233,"wees geduldig","good things come to those who wait"
234,"wie a zegt moet ook b zeggen","in for a penny
235,"wie de schoen past, trekke hem aan."
236,"wie een kuil graaft voor een ander, valt er zelf in"
237,"wie het eerst komt, die het eerst maalt."
238,"wie het eerst komt, die het eerst maalt"
239,"wie het kleine niet eert, is het grote niet weerd (waard)"
240,"wie het laatst lacht, lacht het best."
241,"wie het laatst lacht, lacht het best"
242,"wie met honden omgaat of slaapt, krijgt vlooien"
243,"wie zijn gat brandt, moet op de blaren zitten."
244,"wrap up","afsluiten / afronden"
245,"ze zijn altijd samen","like two peas in a pod"
246,"zeg dat wel","you can say that again"
247,"zelden","once in a blue moon"
248,"ziek","under the weather"
249,"zo gezond als een vis","fit as a fiddle"
250,"zo lang er leven is, is er hoop"
251,"zoals het klokje thuis tikt, tikt het nergens."
252,"zuinigheid met vlijt bouwt huizen als kastelen.","a penny saved is a penny earned"
